NodeId,StartDate,EndDate
1,03/09/2012,03/09/2012
348,01/09/2012,27/11/2015
346,03/09/2012,03/09/2012
5,03/09/2012,03/09/2012
6,03/09/2012,03/09/2012
7,03/09/2012,03/09/2012
8,03/09/2012,03/09/2012
9,03/09/2012,03/09/2012
10,03/09/2012,03/09/2012
11,03/09/2012,03/09/2012
351,03/09/2012,03/09/2012
34,03/09/2012,03/09/2012
35,03/09/2012,03/09/2012
36,03/09/2012,03/09/2012
37,28/01/2013,28/01/2013
350,03/09/2012,03/09/2012
38,29/10/2012,29/10/2012
39,29/10/2012,29/10/2012
40,03/09/2012,03/09/2012
41,03/09/2012,03/09/2012
47,03/09/2012,03/09/2012
48,03/09/2012,03/09/2012
49,03/09/2012,03/09/2012
50,03/09/2012,03/09/2012
51,03/09/2012,03/09/2012
52,03/09/2012,03/09/2012
53,03/09/2012,03/09/2012
54,03/09/2012,03/09/2012
55,03/09/2012,03/09/2012
56,03/09/2012,03/09/2012
57,03/09/2012,03/09/2012
58,03/09/2012,03/09/2012
345,03/09/2012,03/09/2012
12,03/09/2012,03/09/2012
13,03/09/2012,03/09/2012
14,03/09/2012,03/09/2012
15,03/09/2012,03/09/2012
16,03/09/2012,03/09/2012
17,03/09/2012,03/09/2012
18,03/09/2012,03/09/2012
19,03/09/2012,03/09/2012
20,03/09/2012,03/09/2012
21,03/09/2012,03/09/2012
22,03/09/2012,03/09/2012
352,03/09/2012,03/09/2012
23,03/09/2012,03/09/2012
24,03/09/2012,03/09/2012
25,03/09/2012,03/09/2012
26,03/09/2012,03/09/2012
27,03/09/2012,03/09/2012
28,03/09/2012,03/09/2012
353,03/09/2012,03/09/2012
29,03/09/2012,03/09/2012
30,03/09/2012,03/09/2012
354,03/09/2012,03/09/2012
31,03/09/2012,03/09/2012
32,03/09/2012,03/09/2012
33,03/09/2012,03/09/2012
349,03/09/2012,03/09/2012
344,03/09/2012,03/09/2012
59,03/09/2012,03/09/2012
342,03/09/2012,03/09/2012
347,03/09/2012,03/09/2012
343,03/09/2012,03/09/2012
341,03/09/2012,03/09/2012
42,03/09/2012,03/09/2012
43,03/09/2012,03/09/2012
44,03/09/2012,03/09/2012
45,03/09/2012,03/09/2012
46,03/09/2012,03/09/2012
2,03/09/2012,03/09/2012
4,03/09/2012,03/09/2012
3,01/10/2012,01/10/2012
282,05/01/2015,05/01/2015
64,28/07/2014,28/07/2014
283,28/07/2014,28/07/2014
284,28/07/2014,28/07/2014
285,28/07/2014,28/07/2014
67,28/08/2015,28/08/2015
65,03/11/2014,03/11/2014
286,28/09/2012,28/09/2012
287,28/09/2012,28/09/2012
288,28/09/2012,28/09/2012
289,28/09/2012,28/09/2012
290,28/09/2012,28/09/2012
291,28/07/2014,28/07/2014
292,28/07/2014,28/07/2014
72,03/11/2014,03/11/2014
293,03/11/2014,07/11/2014
294,03/11/2014,07/11/2014
295,03/11/2014,07/11/2014
296,03/11/2014,07/11/2014
297,03/11/2014,07/11/2014
298,03/11/2014,07/11/2014
299,03/11/2014,07/11/2014
300,03/11/2014,07/11/2014
301,28/07/2014,28/07/2014
302,28/07/2014,28/07/2014
303,28/07/2014,28/07/2014
73,28/07/2014,28/07/2014
304,28/07/2014,28/07/2014
305,28/07/2014,28/07/2014
306,28/07/2014,28/07/2014
307,28/09/2012,28/09/2012
308,26/07/2013,26/07/2013
309,28/06/2013,28/06/2013
75,27/09/2013,27/09/2013
310,28/07/2014,28/07/2014
311,28/07/2014,28/07/2014
76,28/07/2014,28/07/2014
312,28/07/2014,28/07/2014
313,28/07/2014,28/07/2014
314,28/07/2014,28/07/2014
315,28/07/2014,28/07/2014
316,28/07/2014,28/07/2014
317,28/07/2014,28/07/2014
318,28/07/2014,28/07/2014
70,28/03/2013,28/03/2013
319,28/07/2014,28/07/2014
320,28/07/2014,28/07/2014
321,28/07/2014,28/07/2014
322,28/07/2014,28/07/2014
323,28/07/2014,28/07/2014
324,28/07/2014,28/07/2014
325,28/07/2014,28/07/2014
326,28/07/2014,28/07/2014
327,28/07/2014,28/07/2014
328,28/07/2014,28/07/2014
329,28/07/2014,28/07/2014
330,28/07/2014,28/07/2014
331,28/07/2014,28/07/2014
332,28/07/2014,28/07/2014
333,28/07/2014,28/07/2014
334,28/07/2014,28/07/2014
335,28/07/2014,28/07/2014
336,28/07/2014,28/07/2014
337,28/07/2014,28/07/2014
338,28/07/2014,28/07/2014
339,28/07/2014,28/07/2014
69,28/07/2014,28/07/2014
63,28/07/2014,28/07/2014
340,28/07/2014,28/07/2014
61,27/09/2013,27/09/2013
66,27/09/2013,27/09/2013
62,28/07/2014,28/07/2014
60,28/07/2014,28/07/2014
74,02/09/2013,27/09/2013
71,03/12/2012,26/04/2013
68,04/11/2013,27/06/2014
77,26/04/2013,26/04/2013
355,02/09/2013,02/09/2013
78,01/09/2014,01/09/2014
372,05/01/2015,05/01/2015
369,30/01/2015,30/01/2015
373,30/01/2015,30/01/2015
356,24/12/2014,24/12/2014
79,02/06/2014,17/11/2014
370,30/01/2015,30/01/2015
357,27/02/2015,27/02/2015
80,03/02/2014,24/12/2014
90,01/09/2014,01/09/2014
362,31/08/2013,29/05/2015
92,30/01/2015,30/01/2015
91,30/09/2013,31/10/2014
89,01/09/2014,01/09/2014
361,31/08/2013,29/05/2015
93,05/01/2015,05/01/2015
81,30/09/2013,26/09/2014
94,01/09/2014,01/09/2014
363,30/09/2013,30/09/2013
95,05/01/2015,05/01/2015
82,02/12/2013,08/10/2014
96,01/09/2014,01/09/2014
364,26/04/2014,29/05/2015
98,25/09/2015,25/09/2015
97,03/03/2014,18/03/2015
99,01/09/2014,01/09/2014
365,28/07/2014,28/07/2014
100,29/04/2016,29/04/2016
83,28/07/2014,26/02/2016
101,02/09/2013,02/09/2013
366,01/06/2013,29/05/2015
102,27/03/2015,27/03/2015
86,02/09/2013,02/09/2013
360,01/07/2013,01/07/2013
88,28/07/2014,28/07/2014
85,28/07/2014,28/07/2014
359,29/06/2013,29/05/2015
84,03/03/2014,27/06/2014
358,26/06/2015,26/06/2015
87,30/08/2013,30/08/2013
110,02/09/2013,03/04/2014
111,01/09/2014,31/10/2014
106,01/09/2014,24/12/2014
104,03/02/2014,29/04/2014
368,30/01/2015,30/01/2015
109,01/09/2014,28/11/2014
105,31/03/2014,31/10/2014
367,24/12/2015,24/12/2015
103,28/04/2014,24/12/2015
107,29/09/2014,29/09/2014
371,27/09/2014,29/05/2015
108,24/03/2016,24/03/2016
156,14/04/2015,30/03/2016
157,14/04/2015,30/03/2016
158,14/04/2015,30/03/2016
159,14/04/2015,30/03/2016
160,14/04/2015,30/03/2016
161,14/04/2015,30/03/2016
162,14/04/2015,30/03/2016
163,14/04/2015,30/03/2016
164,14/04/2015,30/03/2016
247,23/03/2018,23/03/2018
246,23/03/2018,19/03/2021
245,23/03/2018,19/03/2021
244,23/03/2018,19/03/2021
178,27/06/2016,23/12/2016
239,27/02/2017,23/03/2018
241,27/02/2017,22/05/2018
240,27/02/2017,22/05/2018
242,27/02/2017,22/12/2017
136,29/06/2015,24/12/2015
175,03/12/2018,21/12/2018
174,31/10/2016,21/12/2018
173,31/10/2016,21/12/2018
172,31/10/2016,25/11/2016
171,31/10/2016,21/12/2018
113,25/11/2016,25/11/2016
374,25/04/2015,26/08/2016
112,27/04/2015,27/04/2015
114,29/05/2015,29/05/2015
375,30/05/2015,26/08/2016
115,23/12/2016,23/12/2016
378,25/04/2015,25/03/2016
168,31/03/2016,31/03/2016
116,27/04/2015,27/04/2015
177,25/04/2015,26/08/2016
183,30/08/2016,30/08/2016
117,01/04/2015,01/04/2015
376,29/02/2016,24/06/2016
118,30/08/2016,30/08/2016
381,25/04/2015,26/08/2016
137,29/06/2015,24/12/2015
138,29/06/2015,24/12/2015
165,29/06/2015,30/03/2016
166,29/06/2015,30/03/2016
122,02/01/2013,24/12/2013
121,02/01/2014,24/12/2014
127,05/01/2015,29/06/2015
119,04/01/2016,23/12/2016
120,03/01/2017,22/12/2017
151,02/01/2018,29/03/2018
123,02/01/2013,24/12/2013
124,02/01/2014,24/12/2014
129,05/01/2015,29/06/2015
125,04/01/2016,23/12/2016
126,03/01/2017,22/12/2017
147,02/01/2018,29/06/2018
128,29/06/2015,24/12/2015
130,29/06/2015,24/12/2015
131,02/01/2014,24/12/2014
169,05/01/2015,29/06/2015
132,29/06/2015,24/12/2015
133,04/01/2016,23/12/2016
134,03/01/2017,22/12/2017
148,02/01/2018,18/06/2018
135,04/01/2016,23/12/2016
176,03/01/2017,22/12/2017
153,02/01/2018,31/08/2018
139,01/08/2016,31/07/2017
140,01/08/2017,30/07/2018
141,31/07/2018,30/07/2019
142,31/07/2019,29/07/2020
149,30/07/2020,26/10/2020
143,01/08/2016,31/07/2017
144,01/08/2017,30/07/2018
145,31/07/2018,30/07/2019
146,31/07/2019,29/07/2020
150,30/07/2020,26/10/2020
262,01/08/2015,26/08/2016
154,04/07/2016,26/08/2016
152,01/12/2015,24/12/2015
167,24/12/2012,24/12/2012
377,26/10/2020,26/10/2020
170,03/10/2016,25/11/2016
179,27/06/2016,28/10/2016
277,27/06/2016,25/11/2016
278,27/06/2016,23/12/2016
279,27/06/2016,23/12/2016
280,27/06/2016,23/12/2016
265,27/06/2016,27/01/2017
266,27/06/2016,27/01/2017
267,27/06/2016,23/12/2016
268,27/06/2016,23/12/2016
269,27/06/2016,30/11/2016
270,27/06/2016,30/09/2016
271,27/06/2016,27/01/2017
249,27/06/2016,24/02/2017
251,27/06/2016,31/03/2017
253,27/06/2016,31/03/2017
254,27/06/2016,25/11/2016
255,27/06/2016,31/03/2017
256,27/06/2016,24/02/2017
257,27/06/2016,27/01/2017
184,30/08/2016,31/03/2017
185,30/08/2016,28/04/2017
186,01/12/2016,30/06/2017
187,30/08/2016,30/06/2017
188,03/01/2017,30/06/2017
189,03/01/2017,31/05/2017
190,30/08/2016,30/06/2017
191,03/01/2017,31/05/2017
192,30/08/2016,31/07/2017
193,03/01/2017,31/05/2017
195,30/08/2016,20/10/2017
196,30/08/2016,20/10/2017
197,30/08/2016,20/10/2017
198,30/08/2016,30/08/2017
199,30/08/2016,30/08/2017
200,30/08/2016,30/08/2017
201,30/08/2016,01/12/2017
202,30/08/2016,30/06/2017
226,30/08/2016,02/10/2017
227,30/08/2016,28/04/2017
228,30/08/2016,04/09/2017
229,30/08/2016,04/07/2017
203,30/08/2016,21/12/2017
204,30/08/2016,05/03/2018
205,30/08/2016,05/03/2018
206,30/08/2016,31/07/2017
207,30/08/2016,04/07/2017
208,30/08/2016,25/07/2017
209,30/08/2016,30/08/2017
210,30/08/2016,25/07/2017
211,30/08/2016,31/07/2017
212,30/08/2016,31/07/2017
213,30/08/2016,21/12/2017
214,30/08/2016,21/12/2017
380,30/08/2016,21/12/2017
215,30/08/2016,29/01/2018
216,30/08/2016,29/01/2018
217,30/08/2016,24/11/2017
218,30/08/2016,29/01/2018
219,30/08/2016,29/01/2018
220,30/08/2016,24/11/2017
221,30/08/2016,28/07/2017
222,30/08/2016,25/08/2017
223,30/08/2016,29/01/2018
224,30/08/2016,24/11/2017
225,30/08/2016,22/12/2017
231,27/11/2017,21/12/2018
232,27/11/2017,21/12/2018
233,27/11/2017,21/12/2018
234,27/11/2017,21/12/2018
235,27/11/2017,21/12/2018
236,27/11/2017,21/12/2018
258,27/06/2016,27/01/2017
182,27/06/2016,23/12/2016
180,27/06/2016,30/09/2016
181,27/06/2016,30/09/2016
272,27/06/2016,30/11/2016
250,27/06/2016,31/03/2017
252,27/06/2016,23/12/2016
194,30/08/2016,06/03/2017
155,14/04/2015,14/04/2015
259,01/08/2016,03/05/2017
260,01/08/2016,25/11/2016
237,03/12/2018,21/12/2018
273,27/06/2016,30/11/2016
274,27/06/2016,30/11/2016
261,27/06/2016,28/10/2016
379,31/01/2017,31/01/2017
382,05/03/2018,05/03/2018
230,27/11/2017,27/11/2017
383,21/12/2018,21/12/2018
238,27/02/2017,27/02/2017
384,22/05/2018,22/05/2018
243,23/03/2018,23/03/2018
385,19/03/2021,19/03/2021
275,01/12/2016,31/01/2017
248,31/07/2015,31/07/2015
386,03/05/2017,03/05/2017
263,27/06/2016,27/06/2016
264,27/08/2016,05/09/2016
387,26/08/2016,26/08/2016
276,27/06/2016,27/06/2016
388,26/08/2016,26/08/2016
281,27/08/2016,05/09/2016
